,Country/Territory,2000,2011,2021,Latitud,Longitud
91,Guadeloupe,0.0,309.4,0.0,16.2528827,-61.5686855
92,Guam,0.0,114.5,112.6,13.450125700000001,144.75755102972062
93,Guatemala,5079.0,6936.9,10099.3,15.5855545,-90.345759
94,Guinea,0.0,4722.8,6146.5,10.7226226,-10.7083587
95,Guinea-Bissau,0.0,739.7,956.8,11.815215,-15.2351044
96,Guyana,514.0,422.6,489.0,4.8417097,-58.6416891
97,Haiti,3861.0,5369.9,6581.8,19.1399952,-72.3570972
98,Holy See,0.0,0.0,0.6,38.9247244,-77.06572732690151
99,Honduras,3029.0,4007.6,5887.6,15.2572432,-86.0755145
100,Hungary,7431.0,7520.8,7309.6,47.1817585,19.5060937
101,Iceland,187.0,222.2,242.7,64.9841821,-18.1059013
102,India,567714.0,737003.3,893910.0,22.3511148,78.6677428
103,Indonesia,124758.0,154277.6,179720.5,-2.4833826,117.8902853
104,Iran (Islamic Republic of),34421.0,50322.3,57370.4,32.6475314,54.5643516
105,Iraq,10945.0,15068.7,21391.1,33.0955793,44.1749775
106,Ireland,2514.0,3152.1,3474.7,52.865196,-7.9794599
107,Isle of Man,0.0,0.0,61.4,54.1936805,-4.5591148
108,Israel,3821.0,4707.8,5407.2,30.8124247,34.8594762
109,Italy,43910.0,45637.1,45153.7,42.6384261,12.674297
110,Jamaica,1484.0,1641.5,1991.4,18.1850507,-77.3947693
111,Japan,95849.0,95340.6,93187.4,36.5748441,139.2394179
112,Jordan,3129.0,3268.4,5854.1,31.1667049,36.941628
113,Kazakhstan,10059.0,10662.7,11949.4,48.1012954,66.7780818
114,Kenya,13334.0,19425.8,27783.4,1.4419683,38.4313975
115,Kiribati,0.0,60.3,66.8,0.3448612,173.6641773
116,Kuwait,1084.0,1868.9,3152.8,29.2733964,47.4979476
117,Kyrgyzstan,2537.0,3142.1,3908.1,41.5089324,74.724091
118,Lao People's Democratic Republic,0.0,3368.8,4291.5,20.0171109,103.378253
119,Latvia,0.0,1709.9,1353.3,56.8406494,24.7537645
120,Lebanon,1875.0,2788.6,4449.4,33.8750629,35.843409
121,Lesotho,0.0,1106.4,1233.9,-29.6039267,28.3350193
122,Liberia,0.0,1900.3,2518.2,5.7499721,-9.3658524
123,Libya,2784.0,3875.0,4425.1,26.8234472,18.1236723
124,Liechtenstein,0.0,26.7,27.8,47.1416307,9.5531527
125,Lithuania,2603.0,2470.2,1976.1,55.3500003,23.7499997
126,Luxembourg,316.0,375.3,475.9,49.8158683,6.1296751
127,Madagascar,7249.0,9770.3,13919.8,-18.9249604,46.4416422
128,Malawi,0.0,6563.5,8982.4,-13.2687204,33.9301963
129,Malaysia,12291.0,17402.7,22130.9,4.5693754,102.2656823
130,Maldives,0.0,198.9,404.7,3.7203503,73.2244152
131,Mali,4685.0,6660.7,8714.9,16.3700359,-2.2900239
132,Malta,273.0,316.0,336.3,35.8885993,14.4476911
133,Marshall Islands,0.0,32.7,36.4,8.9995549,168.0002575
134,Martinique,0.0,284.5,0.0,14.6367927,-61.01582685063731
135,Mauritania,0.0,1756.4,2386.6,20.2540382,-9.2399263
136,Mauritius,753.0,898.9,943.4,-20.2759451,57.5703566
137,Mayotte,0.0,0.0,139.1,-12.825543,45.148490830203045
138,Mexico,55174.0,69324.0,83741.6,23.6585116,-102.0077097
139,Micronesia (Federated States of),0.0,57.5,68.5,38.9073892,-77.0405464
140,Monaco,0.0,26.1,28.7,43.7323492,7.4276832
141,Mongolia,0.0,1742.0,2042.7,46.8250388,103.8499736
