,Country/Territory,2000,2011,2021,Latitud,Longitud
0,Africa,2532.9,14700.0,23633.9,11.5024338,17.7578122
1,Europe,22373.1,52770.8,61425.1,51.0,10.0
2,Middle East and North Africa,17007.6,32600.0,72671.9,33.874664800000005,35.566736330340206
3,North America and Caribbean,21375.1,37700.0,50547.0,43.70778905,-72.28883808717787
4,South and Central America,8553.3,25121.5,32497.1,33.2976546,-111.8199771
5,South-East Asia,34882.2,71406.9,90204.5,-36.8624515,174.7207047
6,Western Pacific,44097.9,131895.1,205640.2,-17.6602176,177.4049561
