,Continentes,2021
0,Norte de africa,59.5
1,Europa,294.9
2,Centro-Sur de Africa,192.5
3,America del Norte,192.5
4,America del Sur,121.3
5,Oeste de Asia,244.5
6,Este de Asia y Oceania,107.9
